,name,did_not_play,date,team,opponent,home_away,game_start,seconds_played,field_goal_pct,field_goal_attempt,field_goal_made,threePT_made,threePT_attempt,threePT_pct,free_throws_made,free_throws_attempt,free_throws_pct,orb,drb,trb,assists,steals,blocks,turnovers,points,game_score,plus_minus
230,Steven Adams,0,2018-03-08,OKC,PHO,0,1,1797,0.875,8,7,0,0,,2,5,0.4,6,6,12,2,2,3,3,16,19.3,27
231,Steven Adams,0,2018-03-10,OKC,SAS,0,1,1047,0.5,8,4,0,0,,0,0,,1,0,1,0,1,0,2,8,2.1,3
232,Steven Adams,0,2018-03-12,OKC,SAC,0,1,1361,0.6,5,3,0,0,,0,0,,3,3,6,2,0,2,0,6,8.7,9
233,Steven Adams,1,2018-03-13,OKC,ATL,1,,,,,,,,,,,,,,,,,,,,,
234,Steven Adams,0,2018-03-16,OKC,LAC,0,1,2278,0.533,15,8,0,0,,2,4,0.5,10,4,14,1,3,5,4,18,20.5,-2
235,Steven Adams,0,2018-03-18,OKC,TOR,1,1,2007,0.769,13,10,0,0,,5,9,0.556,5,3,8,4,1,0,2,25,23.3,20
236,Steven Adams,0,2018-03-20,OKC,BOS,1,1,2235,0.571,7,4,0,0,,6,10,0.6,3,4,7,2,0,0,1,14,12.4,7
237,Steven Adams,0,2018-03-23,OKC,MIA,0,1,1877,0.692,13,9,0,0,,6,11,0.545,6,6,12,1,1,0,0,24,22.6,4
238,Steven Adams,0,2018-03-25,OKC,POR,0,1,2152,0.571,14,8,0,0,,2,2,1,9,1,10,1,0,2,2,18,17.3,-6
239,Steven Adams,0,2018-03-29,OKC,SAS,1,1,2243,0.455,11,5,0,0,,0,2,0,5,8,13,1,0,0,2,10,6.9,10
240,Steven Adams,0,2018-03-30,OKC,DEN,0,1,2039,0.375,8,3,0,0,,1,4,0.25,5,5,10,5,4,0,0,7,13.5,-8
241,Steven Adams,0,2018-04-01,OKC,NOP,1,1,2177,0.667,9,6,0,0,,2,4,0.5,7,3,10,1,0,1,6,14,9.7,-3
242,Steven Adams,0,2018-04-03,OKC,GSW,0,1,1980,0.5,6,3,0,0,,1,6,0.167,8,5,13,2,0,0,5,7,3.5,11
243,Steven Adams,0,2018-04-07,OKC,HOU,1,1,1718,0.714,7,5,0,0,,2,3,0.667,3,5,8,3,1,0,0,12,15,-4
244,Steven Adams,0,2018-04-09,OKC,MIA,1,1,1897,0.5,6,3,0,0,,1,4,0.25,2,1,3,1,1,1,1,7,5.1,-1
245,Steven Adams,0,2018-04-11,OKC,MEM,0,1,2189,0.75,12,9,0,0,,6,7,0.857,1,6,7,0,1,0,2,24,19.5,17
246,Bam Adebayo,0,2017-10-18,MIA,ORL,1,0,342,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,-1.5,3
247,Bam Adebayo,1,2017-10-21,MIA,IND,0,,,,,,,,,,,,,,,,,,,,,
248,Bam Adebayo,1,2017-10-23,MIA,ATL,0,,,,,,,,,,,,,,,,,,,,,
249,Bam Adebayo,0,2017-10-25,MIA,SAS,0,1,1175,0.333,6,2,0,0,,0,0,,1,7,8,0,0,1,0,4,2.9,-12
250,Bam Adebayo,0,2017-10-28,MIA,BOS,0,1,1459,0.5,4,2,0,0,,2,2,1,1,2,3,0,1,1,1,6,4.8,-11
251,Bam Adebayo,0,2017-10-30,MIA,MIN,0,1,1871,0.556,9,5,0,0,,3,6,0.5,10,3,13,0,0,0,1,13,13.2,-16
252,Bam Adebayo,0,2017-11-01,MIA,CHI,0,0,784,0.5,2,1,0,0,,2,2,1,0,4,4,0,2,0,0,4,6.2,8
253,Bam Adebayo,0,2017-11-03,MIA,DEN,1,0,211,,0,0,0,0,,0,0,,0,1,1,0,0,0,0,0,0.3,6
254,Bam Adebayo,0,2017-11-05,MIA,LAC,1,0,60,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,-0.4,-5
255,Bam Adebayo,0,2017-11-06,MIA,GSW,1,0,795,1,1,1,0,0,,1,1,1,2,4,6,0,1,2,1,3,6.7,-3
256,Bam Adebayo,1,2017-11-08,MIA,PHO,1,,,,,,,,,,,,,,,,,,,,,
257,Bam Adebayo,1,2017-11-10,MIA,UTA,1,,,,,,,,,,,,,,,,,,,,,
258,Bam Adebayo,1,2017-11-12,MIA,DET,1,,,,,,,,,,,,,,,,,,,,,
259,Bam Adebayo,1,2017-11-15,MIA,WAS,0,,,,,,,,,,,,,,,,,,,,,
260,Bam Adebayo,0,2017-11-17,MIA,WAS,1,0,248,,0,0,0,0,,1,2,0.5,0,1,1,0,0,0,1,1,-0.1,-7
261,Bam Adebayo,0,2017-11-19,MIA,IND,0,0,462,0.667,3,2,0,0,,0,0,,0,0,0,0,0,0,0,4,2.3,-14
262,Bam Adebayo,1,2017-11-22,MIA,BOS,0,,,,,,,,,,,,,,,,,,,,,
263,Bam Adebayo,1,2017-11-24,MIA,MIN,1,,,,,,,,,,,,,,,,,,,,,
264,Bam Adebayo,1,2017-11-26,MIA,CHI,1,,,,,,,,,,,,,,,,,,,,,
265,Bam Adebayo,0,2017-11-28,MIA,CLE,1,0,1107,1,7,7,0,0,,5,5,1,1,5,6,2,0,1,0,19,21.2,13
266,Bam Adebayo,0,2017-11-29,MIA,NYK,1,1,1833,0.8,5,4,0,0,,1,2,0.5,1,4,5,0,2,0,1,9,8.4,-20
267,Bam Adebayo,0,2017-12-01,MIA,CHO,0,1,1089,0,3,0,0,0,,1,2,0.5,3,2,5,0,4,2,3,1,2.4,-13
268,Bam Adebayo,0,2017-12-03,MIA,GSW,0,1,1196,0.6,5,3,0,0,,3,4,0.75,1,1,2,0,1,0,0,9,7.5,-16
