,Cold Cold,Cold Hot,Hot Cold,Hot Hot
Russell Westbrook,0.15,0.85,0.35,0.65
Anthony Davis,0.13,0.87,0.36,0.64
Kevin Durant,0.06,0.94,0.44,0.56
James Harden,0.01,0.99,0.46,0.54
LeBron James,0.14,0.86,0.34,0.66
Stephen Curry,0.00,1.00,0.50,0.50
Giannis Antetokounmpo,0.12,0.88,0.35,0.65
Joel Embiid,0.14,0.86,0.36,0.64
