,Cold Cold,Cold Hot,Hot Cold,Hot Hot
Wesley Johnson,0.80,0.20,1.00,0.00
Solomon Hill,0.85,0.15,1.00,0.00
Alex Abrines,0.57,0.43,1.00,0.00
Skal Labissiere,0.65,0.35,0.85,0.15
Wilson Chandler,0.64,0.36,1.00,0.00
