,Cold Cold,Cold Hot,Hot Cold,Hot Hot,Bad Cold,Average Cold,Good Cold,Bad Hot,Average Hot,Good Hot
Russell Westbrook,0.0451422192333095,0.9548577807666907,0.43349002607545084,0.566509973924549,0.0,0.28189712406771406,0.7181028759322863,0.0,0.0003947823654696131,0.9996052176345305
Anthony Davis,0.1435630365578058,0.8564369634421941,0.3463978546286974,0.6536021453713027,0.0,0.13135692528941556,0.8686430747105843,0.0,0.11542911443587266,0.8845708855641276
Hassan Whiteside,0.06973659839839425,0.9302634016016057,0.3987882942192581,0.6012117057807419,0.06214597980951531,0.35383050801336335,0.5840235121771213,3.211449866683132e-10,0.06084229969098037,0.9391576999878748
James Harden,0.01145149259501021,0.9885485074049898,0.49270432353745275,0.5072956764625474,0.0,0.12597453530675037,0.8740254646932497,0.0,7.449541710134613e-07,0.9999992550458294
DeMarcus Cousins,0.1441997780874981,0.855800221912502,0.34502484482653767,0.654975155173462,0.0,0.11730106862981593,0.8826989313701838,0.0,0.09891204157722251,0.9010879584227774
LeBron James,0.1412577117803528,0.8587422882196472,0.3446443493343093,0.6553556506656908,0.0,0.11710880604207487,0.8828911939579249,0.0,0.10681810349000036,0.8931818965099995
Stephen Curry,0.00804334901988807,0.991956650980112,0.35354418725084463,0.6464558127491551,0.0,0.45137260851985905,0.5486273914801412,0.0,5.863475559267876e-05,0.9999413652444075
Joel Embiid,0.12399522693429778,0.8760047730657023,0.35196055517768193,0.648039444822318,0.0,0.1846682695749347,0.8153317304250658,0.0,0.015164529532383507,0.9848354704676162
Karl-Anthony Towns,0.1118796123658025,0.8881203876341975,0.38867360909723186,0.6113263909027683,0.040310291685424125,0.4549863284972681,0.5047033798173077,2.0107261607916915e-07,0.06492135042056961,0.935078448506814
