,name,did_not_play,date,team,opponent,home_away,game_start,seconds_played,field_goal_pct,field_goal_attempt,field_goal_made,threePT_made,threePT_attempt,threePT_pct,free_throws_made,free_throws_attempt,free_throws_pct,orb,drb,trb,assists,steals,blocks,turnovers,points,game_score,plus_minus
0,Alex Abrines,0,2018-10-16,OKC,GSW,1,0,1408,0.375,8,3,2,6,0.333,0,0,,0,2,2,0,0,0,0,8,3.4,-5
1,Alex Abrines,0,2018-10-19,OKC,LAC,1,0,1926,0.4,10,4,2,7,0.286,0,0,,1,1,2,1,1,0,2,10,5.3,-9
2,Alex Abrines,0,2018-10-21,OKC,SAC,0,0,320,0,1,0,0,1,0,0,0,,0,1,1,2,0,0,0,0,1,5
3,Alex Abrines,0,2018-10-25,OKC,BOS,0,0,1113,0.4,5,2,2,5,0.4,0,1,0,0,1,1,1,0,0,0,6,3.1,6
4,Alex Abrines,0,2018-10-28,OKC,PHO,0,0,1460,0,5,0,0,3,0,2,2,1,0,1,1,0,2,0,0,2,0,-1
5,Alex Abrines,0,2018-10-30,OKC,LAC,0,0,910,0.5,2,1,1,1,1,0,0,,0,0,0,0,4,1,1,3,3.7,-1
6,Alex Abrines,0,2018-11-01,OKC,CHO,1,0,1816,0.6,15,9,5,10,0.5,2,2,1,0,2,2,0,0,0,0,25,17.1,16
7,Alex Abrines,0,2018-11-02,OKC,WAS,1,0,1468,0.375,8,3,2,7,0.286,0,0,,0,1,1,2,0,2,0,8,5.5,27
8,Alex Abrines,0,2018-11-05,OKC,NOP,0,0,1816,0.5,4,2,1,2,0.5,2,2,1,0,4,4,3,0,0,1,7,6.9,6
9,Alex Abrines,0,2018-11-07,OKC,CLE,1,0,1573,0.25,12,3,3,10,0.3,0,0,,0,0,0,0,1,0,0,9,2.4,11
10,Alex Abrines,0,2018-11-08,OKC,HOU,0,0,1149,0,3,0,0,3,0,0,0,,1,3,4,0,1,0,1,0,-0.5,-8
11,Alex Abrines,0,2018-11-10,OKC,DAL,1,0,1565,0.333,6,2,2,4,0.5,0,0,,0,2,2,0,0,0,1,6,1.4,-9
12,Alex Abrines,0,2018-11-12,OKC,PHO,0,0,1211,0.333,6,2,2,6,0.333,2,2,1,0,2,2,2,2,1,1,8,6.7,-11
13,Alex Abrines,0,2018-11-14,OKC,NYK,0,0,443,0,2,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,-2.4,3
14,Alex Abrines,1,2018-11-17,OKC,PHO,1,,,,,,,,,,,,,,,,,,,,,
15,Alex Abrines,1,2018-11-19,OKC,SAC,1,,,,,,,,,,,,,,,,,,,,,
