,Bad Cold,Average Cold,Good Cold,Bad Hot,Average Hot,Good Hot
Russell Westbrook,0.00,0.14,0.86,0.00,0.10,0.90
Anthony Davis,0.06,0.08,0.86,0.00,0.07,0.93
Kevin Durant,0.05,0.42,0.53,0.00,0.04,0.96
James Harden,0.00,0.18,0.82,0.00,0.00,1.00
LeBron James,0.00,0.08,0.92,0.00,0.08,0.92
Stephen Curry,0.05,0.53,0.42,0.00,0.06,0.94
Giannis Antetokounmpo,0.00,0.12,0.88,0.00,0.01,0.99
Joel Embiid,0.00,0.17,0.83,0.00,0.09,0.91
