,Cold Cold,Cold Hot,Hot Cold,Hot Hot,Bad Cold,Average Cold,Good Cold,Bad Hot,Average Hot,Good Hot
Russell Westbrook,0.14630050457254754,0.8536994954274524,0.34629383922388496,0.6537061607761149,0.0,0.1364059706802741,0.8635940293197258,0.0,0.0984762444298941,0.9015237555701062
Anthony Davis,0.12859820052965232,0.8714017994703475,0.3593431982638142,0.6406568017361857,0.061593698420799044,0.07780416203417201,0.8606021395450288,0.0004134629589155311,0.07064931682820198,0.9289372202128824
Kevin Durant,0.059743849563930924,0.940256150436069,0.4396161871632715,0.5603838128367284,0.045794083281508136,0.4200021834952252,0.5342037332232665,1.9319960163695196e-08,0.03876905267176546,0.9612309280082743
James Harden,0.010811227721754116,0.989188772278246,0.4585537619907368,0.5414462380092633,0.0,0.1838168696798829,0.816183130320117,0.0,7.563550418787577e-06,0.9999924364495814
LeBron James,0.13694507655754634,0.8630549234424537,0.3409365680222264,0.6590634319777735,0.0,0.08165494965642624,0.918345050343574,0.0,0.07506621075868958,0.9249337892413103
Stephen Curry,3.412159574615678e-05,0.9999658784042541,0.4987509244092112,0.5012490755907888,0.0500014961694282,0.5274426625658921,0.42255584126467993,3.936359747246084e-25,0.06128564300717359,0.9387143569928263
Giannis Antetokounmpo,0.11821538574962913,0.8817846142503709,0.3532680990990822,0.6467319009009178,0.0,0.12444094497012066,0.8755590550298795,0.0,0.014010154324571577,0.9859898456754286
Joel Embiid,0.1431199400187687,0.8568800599812313,0.35611832375729996,0.6438816762427,0.0,0.17085858831731454,0.8291414116826855,0.0,0.09430569726088417,0.9056943027391157
