,Bad Cold,Average Cold,Good Cold,Bad Hot,Average Hot,Good Hot
Russell Westbrook,0.00,0.28,0.72,0.00,0.00,1.00
Anthony Davis,0.00,0.13,0.87,0.00,0.12,0.88
Hassan Whiteside,0.06,0.35,0.58,0.00,0.06,0.94
James Harden,0.00,0.13,0.87,0.00,0.00,1.00
DeMarcus Cousins,0.00,0.12,0.88,0.00,0.10,0.90
LeBron James,0.00,0.12,0.88,0.00,0.11,0.89
Stephen Curry,0.00,0.45,0.55,0.00,0.00,1.00
Joel Embiid,0.00,0.18,0.82,0.00,0.02,0.98
Karl-Anthony Towns,0.04,0.45,0.50,0.00,0.06,0.94
